
+----------------------------------+--------------------+------------------+--------+----------------------------------+
| primid FPH                       | primid HRNS        | password         | PIN    | access token                     |
+----------------------------------+--------------------+------------------+--------+----------------------------------+
| 624e8f410c0ec44198db532ea8330213 | yu.fr              | GPnescGsgpV4xsGv | 120400 | d84c60b74e6f091d01810904730de7a8 |
| e0057076afa9c907262b77fbbd73b6f0 | skl.us             | CKSI30V6pVdBa8sj | 847289 | 1383e877f86647637e3b7d8c10e15ff3 |
| 4d4970a2119ff91c31c49c2ba0ea3f39 | uah.wy.ca          | NnuIGB0j8rP5xQTn | 243929 | 8c3619657d1187b10b15ad7ce6c2386f |
| e433e3883e7445d3993eb01d34321075 | jw.lz.uk           | GZju8sNYDRQABlRJ | 361156 | 1d6d2b6854da92ff5d1f66fef951de7f |
| d5040c4ff4068a3e6cfe9677f849068e | gao.us             | cIDKDxlWuD8sbwQQ | 024016 | c7278f9c324d0c86cd9f97d6c114f958 |
| 1a7308cb29855c56adecad4caa1e2773 | jnn.uk             | edEVcSKI4g7qzWfv | 821025 | 496b7c8ea628d2e1b564fc21023aa549 |
| 89ee382973880d78f6fcf73ede4ebd61 | exb.ai.wg.global   | kAWw7wWq4p9WawIp | 777956 | e4ed6e02337c05d347dfaa5da50cfb25 |
| b3eb2e533fe064276d8933e3c0fd4d1c | eit.uk             | yFT0FyIu8ukkr3Ja | 371556 | 882293024eed752f678c49cc3aa783eb |
| 7b723542683f997aa3b2046495a2784e | qwj.wg.global      | 0fbv0UbxYcQ3kjr0 | 992441 | 36545a4e1ea999c6f7cb6551f9f89dc5 |
| 2f0ea6235c8b550c46a42cf064bdf733 | sv.fr              | TwivWtZ0pgnZLpg4 | 617024 | 82de4b92a4b712b4bc5420ae5c98470e |
| 4224f80c2a1249c49c850aea1c0b6d62 | ujf.my.wg.global   | uZVMmJKrBfAzTeQT | 331600 | 66e2a9d7fd83f6cf1e4d9ac060a7c783 |
| 2e00bdaf26db0a3db67ccf8d04e1f9d0 | nw.us              | 85qOJk9TSZhw9zZq | 372836 | f0dd91275339cea37a322b228aa048ab |
| bf3a6b1750527b6ff48003801e08102c | zxd.zfq.vub.fr     | DyAHkVgjAomiNQFG | 065729 | 16a18059cbf070037d37706dcc387ec2 |
| f5407cbe5a7f8a491282e6b1a4c71cae | rwj.ai.wg.global   | TgoDNroi0yXytDsy | 412929 | ede889676dc8e5fc360d27ec842c8f19 |
| a31f6a190fe7ac6646b1d273eba81eaa | zyx.my.wg.global   | yyLV4Iadr7Bc5Uvh | 171204 | b092a6e07b6abc735ad6d2f652055092 |
| b3c51aadc7737b0b677f2101a4ec1707 | bo.lz.uk           | LXiISl0PSlGlm0z5 | 555904 | 874276bf0df3bf2c07a16a95944177b0 |
| 12606fe32b33ca4b389968644af97ea3 | op.zfq.vub.fr      | d8aOmieMxkMI14Z4 | 375409 | 36d01f7b61bc349e353fab0d0805bcdd |
| e9b4821a3ecefbb50150214e676c22bf | lvd.bs.us          | aKZJ1ryubkUKzMrv | 515856 | 0ff935a2edd9f1ad8e64a9a2ac55f162 |
| 7185ed811591f882eb767215542860cd | jss.uv.uk          | vYShhdEMZCCKOAP6 | 824361 | 25129229d86479b4024a5ce7e17ccc17 |
| 24b9f4600b0d62f9849af96aad7c0a69 | siw.ryy.io.global  | XgpRMXJXcYAuWzw8 | 141929 | 294181509e735e98490e71122d79927e |
| fea606e1183d60039bb85ba925d62de2 | gb.qzl.lz.uk       | 7cYxfpF58rBn02mf | 535969 | bcb711d7601fe84ee0955f3e82488905 |
| 79f9905abe021da5d0432eada2eb2597 | uus.ue.zfq.vub.fr  | KsEgzuXUGlkbgbN0 | 874249 | c17e182257a0059006403822d2e4562e |
| 56666fb58736c449b398004da5f9b3df | ufp.uv.uk          | RM4V6OklUgFZ9eDm | 516004 | 53307b5a21ef17fdacaaddc56673d728 |
| d1013faeee947806477601d04dab88f7 | fal.ai.wg.global   | kc09AGMqN1bcFdX7 | 647204 | 700d170ecb913c514232ff787c5e3f76 |
| a3aef4e4bc41c037bcfd55909d481449 | pvs.io.global      | iapfmQYPgQPlI612 | 233969 | 3287c3b177e4f034f91453ba53a7bafb |
| 1ae1996fcb02e0bde4aec719718f4592 | ff.aiw.wm.lz.uk    | omi6eNmJDKwP2KM3 | 638436 | 840747a5a6d8bacc2619adddf372470d |
| 9881c2123848b481c0f66a71753f9987 | dfr.vub.fr         | QdUK9UhVRJZV9CoM | 648400 | 1368471890cfff91db6f5f1624d046e1 |
| 8e5bc61aebd6b80c808caade9912ecb4 | nd.ue.zfq.vub.fr   | ZKakoDmoR174887V | 865604 | 19e56b04b8175826110bd349276d4e06 |
| 5f8e71b360c608fd02d5f45c1a6eb9ff | mju.ue.zfq.vub.fr  | voeoo10wRlCS2rpF | 367921 | 40b3a43666a3e459d367237d2c56306e |
| 6631ca501ab2578821a074a7ab9b40df | fox.qzl.lz.uk      | VtRQjrhIHmnx2Uv9 | 788164 | b3f13d019855a3141fcc4eec22156137 |
| cd1ee0d663f034aeaeea2b09d1eeef6d | pi.my.wg.global    | AIdbbUIGuSNCXbyO | 967769 | 2b69362403361813f6429423a934d1d5 |
| ab80a629f543b665664390cb281b57df | gpg.ust.zfq.vub.fr | 7DdrvgxWOqL0Obtr | 224400 | 73abff941182e519ef3729ae0e32227b |
| 9f59ea3c014725a8fe9e433afd275f70 | saj.ca             | ctklRVMHxSTRAdnZ | 760361 | 764cfae53283270be60143ab5599d680 |
| 7230b00b63b939d5e3532f97a424350f | feb.ryy.io.global  | zJbRSzS2xNtAK9Cd | 532225 | cc1642e34c466f3c5c3799c5d2120b62 |
| b6933cecbdad84aa50b4f2fd4acfabb5 | zlu.qc.pm.global   | XPePb074fUCdC2QS | 271329 | 411850459735148e087079fd34727f3c |
| 47372f4fe206d665a76d2f9e57c53b52 | wdw.ust.zfq.vub.fr | z1wPsGztKgq6RLEq | 177529 | 2cec528b66c12677218273ec8ae7cce6 |
| f3b4e0d0f6bf4b046bcbee0d63e37feb | ng.pm.global       | 3Uih4ui1YTeW0oXH | 517136 | 29fc61842eb56f923e67e333d4510c1f |
| 5400beeaa19849b33c43ed337d160452 | fwm.zvi.fr         | PvFjO8spTysTM774 | 251396 | 8194fe5de21af91fc06682b368f9e6e0 |
+----------------------------------+--------------------+------------------+--------+----------------------------------+

