
+----------------------------------+-----------------------+------------------+--------+----------------------------------+
| primid FPH                       | primid HRNS           | password         | PIN    | access token                     |
+----------------------------------+-----------------------+------------------+--------+----------------------------------+
| 028569a9507f40b6c3d5058cf10a2839 | jtc.ca                | 9LUWY3QeLX1M6yUD | 562689 | df33cb5a5e95e3b3f31c150a2437ba83 |
| 02e16d22b5374276968fd744798648b1 | nh.us                 | rHSxHUtNnGA3o8Np | 920100 | 0e98c4adb682ed64a7485835052a5405 |
| 11ae8cde74803bf916233f93547899c8 | vsp.de                | edtFW7Bv3eavJnZc | 703716 | 828c6da7725b8674763b981047c4d7ed |
| 515506b2d962e62989d1b57cf8b291ad | fug.uk                | lP0EirPplH0B5KiL | 894144 | 48e1c243cb945b8db0c7cdc9cc700aac |
| 2b59014d2db3916dfda063303b37e7e8 | zs.global             | OwRAEHhj5k5HUDHe | 340100 | b29f8c400a2083b0a21b2c07edee4735 |
| 8c41c473f72912c38087404144622eaf | kx.de                 | lcfaHDzTvFrZcgdu | 138756 | 1c75bd6e200a3a1b8c600a83e627ef1f |
| 084bd65a0a0300e009842cf6fa1cae57 | nk.xxc.us             | yC69PlKZBl5aanhy | 007204 | e9adc77e63939ff1e880dd9191aa833b |
| 5be59a7d77b1cab5c85f7f7192a630a4 | ej.due.global         | tjqrod9gZ9h3Vq41 | 850281 | e324f40f86c839cc39f3f9db09c4d3e5 |
| 757102c8d76b94849b7ec773a7c9f552 | tk.fr                 | Plk5kInzCbznLdX7 | 520161 | 809ea7af290a5a996e3b9cfecc370e9a |
| 6b26764e4e64105d3a727e6e38aa7311 | rnn.es                | iqG09rQYhBibqh1j | 717969 | 13f2a4df02be4a32dffd651f9c8cd22e |
| c5339f3bee8bef19cc21abdee5bf0e8d | un.us                 | anPPhIPciWWakIrZ | 992961 | 5f1689cd8e8b052b5cf6a5cc6dfa2c0a |
| 9770b98bfa32fdd32ade24642cef958c | ro.us                 | MAsTQweMptJRU9O5 | 453449 | 7c0e7d5e9690b63c368bc033646be902 |
| 41bc32db63f3ec8be9d18eb136e243ee | gcc.uk                | 37hMC4JPMHT43Bgu | 306225 | 24dd9bde317b8a4e12e44c35272fd996 |
| b1a956fcb58e8921bd9c2dd2a19735fb | rg.uk                 | 3O3OTDw5K5Exw8Ep | 680769 | 372583ab48e2d06e5ae554c40d037eaa |
| d07b9ff9b743b197908502e8d009e6ae | wbw.uk                | VKCyW52kUn8CWSsx | 512976 | 9fb51f89bec757f68806f4e8de0c0b51 |
| 3c149616b158ad0bb6ac7cb5f43503b9 | bck.xxc.us            | zOdvPh6jVWkMT9JS | 852100 | 05d5c7a3e17d5c42c722808f275320f7 |
| a79732ddcf296b26d073a999f39a6340 | po.ne.us              | TEG0T5p1xEfqKlDA | 875844 | 47ff955186524759edae2059039380fb |
| b4cc4ef60efad0662f3ad5c6f2f4ad17 | qqf.xxc.us            | jmm037P3FtpqecN7 | 107584 | 2031c02886ff0704978accab70be4418 |
| 572fcd1225d805ebdd7fbd3d424272de | uu.cd.due.global      | cLaA5n3eGtFMua2Q | 237824 | fd9240b24254048bb5d5633a15761109 |
| 8f2dca96f2dacdc95cbf0f4e250815a7 | cp.global             | CY0CxnOWz2QKPo90 | 927561 | 51d8f6b437b8bc750c9782abaa2e4a16 |
| 8ad127b38c2ec3fe375bfb7e39d7d7ad | qp.ca                 | WDjGDiY8m2n1ZHS3 | 393489 | 7accde2ff958819a80a5c7a2f68ab2cd |
| e2ce82182a042dfcf243f0a0ec09c0f1 | rq.ca                 | OpjQz0l7FQvqFazO | 560000 | f0d0e658072882918435ace9c0664fa1 |
| d2aab381d6b05326b180ef5af5af1709 | hxx.dmr.de            | qUb5qOXi81fjtjXV | 567396 | 5d3551d9702b8f1cb38702201a31d0b3 |
| 34b5f621147f048cf7753f2b1ab1b971 | gd.due.global         | GPu9aGWJMJDMFoQY | 752324 | f8bb213e905ea6d71617803dd7974664 |
| 2e8524c9f76fc608bca8aa23388c58a5 | oyt.es                | 7kSXcm119u4yuxuv | 645969 | 50b2f4ef4bdd7c307e105d1b0f9999b6 |
| ae39cb55ae88093981455876b12a2661 | apm.cd.due.global     | fEVBRcZYGOt45eX1 | 279844 | 1b02fa0e85c40af8b27b68789b38e256 |
| 4932b76cd544680c839b6f369b3410ac | jof.vy.uk             | pTCRGEpydLmnUxoG | 365769 | a392a58489eb67dc07022e28867b6831 |
| f43c61d993a27453f68fb13a988c750a | io.elo.uk             | 0YchPeLPBl8f8hKK | 781924 | 8368877155435a7d5b48dbb158086a9f |
| ebfee0cd3032e0eca312a8dfffc0dd22 | kkc.cz.zz.xxc.us      | iST02kb2kvS6P76B | 564009 | 068148326e26283aea9d87a1b2e75fc1 |
| 89553e7cce05467c03a27cd453040707 | yj.zz.xxc.us          | HRrZqN1eF03AOcae | 848064 | 7d0f0ebb518540a08c6db7772f48220f |
| bdff15cf0616e39a687ee40dba22a5d7 | jwq.xxc.us            | 0AHLH2bKA08yrFJk | 456400 | 2f35f42f9a5135050ae2ccf827f68ed9 |
| 7b9d39fbf35759f6f56a378d716bf8ab | akk.global            | 27CgyP77ZevNtoFX | 102361 | 261c6ecfa9fa22b54e92b2696cf6499d |
| 43414f27ee49ab92d73a8ba455b3a03c | myl.elo.uk            | NrtK0zZ3wnOZw0L1 | 708544 | b955f786db178c675ab542f9f8c5a393 |
| ca9ddb1ab8949421ef4d4a60f6494835 | zn.cz.zz.xxc.us       | iQ8a7o3GZXNU5ZTB | 987401 | 58d639905600ed3933df43cb59b91ba6 |
